Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
49,10,8,98,1,Some Random Commen with Id 49
50,10,8,4,2,Some Random Commen with Id 50
51,10,8,114,3,Some Random Commen with Id 51
52,10,8,180,8,Some Random Commen with Id 52
53,10,8,65,8,Some Random Commen with Id 53
54,11,9,64,0,Some Random Commen with Id 54
55,11,9,129,1,Some Random Commen with Id 55
56,12,8,171,2,Some Random Commen with Id 56
57,12,8,7,6,Some Random Commen with Id 57
58,12,8,35,9,Some Random Commen with Id 58
59,12,8,179,8,Some Random Commen with Id 59
60,12,8,55,5,Some Random Commen with Id 60
61,12,8,156,3,Some Random Commen with Id 61
62,12,8,95,7,Some Random Commen with Id 62
63,13,7,40,3,Some Random Commen with Id 63
64,13,7,124,9,Some Random Commen with Id 64
65,13,7,102,7,Some Random Commen with Id 65
66,13,7,121,8,Some Random Commen with Id 66
67,13,7,38,9,Some Random Commen with Id 67
68,13,7,167,4,Some Random Commen with Id 68
69,13,7,33,7,Some Random Commen with Id 69
70,13,7,130,6,Some Random Commen with Id 70
71,15,1,52,2,Some Random Commen with Id 71
72,15,1,45,6,Some Random Commen with Id 72
73,15,1,183,1,Some Random Commen with Id 73
74,15,1,142,9,Some Random Commen with Id 74
75,16,8,191,4,Some Random Commen with Id 75
76,16,8,63,6,Some Random Commen with Id 76
77,16,8,179,4,Some Random Commen with Id 77
78,16,8,191,6,Some Random Commen with Id 78
79,16,8,198,8,Some Random Commen with Id 79
80,16,8,37,5,Some Random Commen with Id 80
81,16,8,165,0,Some Random Commen with Id 81
82,17,7,155,0,Some Random Commen with Id 82
83,17,7,75,1,Some Random Commen with Id 83
84,18,1,0,1,Some Random Commen with Id 84
85,18,1,111,0,Some Random Commen with Id 85
86,18,1,86,2,Some Random Commen with Id 86
87,18,1,56,8,Some Random Commen with Id 87
88,18,1,17,9,Some Random Commen with Id 88
89,18,1,152,5,Some Random Commen with Id 89
90,19,9,107,9,Some Random Commen with Id 90
91,19,9,22,1,Some Random Commen with Id 91
92,19,9,61,2,Some Random Commen with Id 92
93,19,9,101,8,Some Random Commen with Id 93
94,19,9,180,9,Some Random Commen with Id 94
95,19,9,175,8,Some Random Commen with Id 95
96,19,9,166,6,Some Random Commen with Id 96
97,20,2,183,1,Some Random Commen with Id 97
98,21,3,92,2,Some Random Commen with Id 98
99,22,0,110,8,Some Random Commen with Id 99
100,22,0,123,0,Some Random Commen with Id 100
101,22,0,182,9,Some Random Commen with Id 101
102,23,0,143,9,Some Random Commen with Id 102
103,23,0,28,1,Some Random Commen with Id 103
104,23,0,58,0,Some Random Commen with Id 104
105,23,0,26,4,Some Random Commen with Id 105
106,23,0,18,8,Some Random Commen with Id 106
107,23,0,182,9,Some Random Commen with Id 107
108,24,3,194,6,Some Random Commen with Id 108
109,24,3,104,0,Some Random Commen with Id 109
110,24,3,94,4,Some Random Commen with Id 110
111,25,1,41,3,Some Random Commen with Id 111
112,25,1,133,4,Some Random Commen with Id 112
113,26,0,4,1,Some Random Commen with Id 113
114,26,0,13,3,Some Random Commen with Id 114
115,26,0,77,8,Some Random Commen with Id 115
116,26,0,175,5,Some Random Commen with Id 116
117,26,0,144,0,Some Random Commen with Id 117
118,26,0,23,2,Some Random Commen with Id 118
119,26,0,130,9,Some Random Commen with Id 119
120,26,0,58,9,Some Random Commen with Id 120
121,26,0,123,1,Some Random Commen with Id 121
122,27,4,140,8,Some Random Commen with Id 122
123,27,4,192,7,Some Random Commen with Id 123
124,27,4,105,0,Some Random Commen with Id 124
125,27,4,156,1,Some Random Commen with Id 125
126,27,4,127,7,Some Random Commen with Id 126
127,27,4,85,3,Some Random Commen with Id 127
128,27,4,143,1,Some Random Commen with Id 128
129,28,2,56,9,Some Random Commen with Id 129
130,28,2,26,3,Some Random Commen with Id 130
131,28,2,59,0,Some Random Commen with Id 131
132,28,2,97,2,Some Random Commen with Id 132
133,28,2,144,6,Some Random Commen with Id 133
134,28,2,120,4,Some Random Commen with Id 134
135,28,2,86,7,Some Random Commen with Id 135
136,30,5,52,5,Some Random Commen with Id 136
137,30,5,129,1,Some Random Commen with Id 137
138,30,5,190,5,Some Random Commen with Id 138
139,30,5,65,8,Some Random Commen with Id 139
140,32,5,186,6,Some Random Commen with Id 140
141,32,5,148,3,Some Random Commen with Id 141
142,33,5,0,3,Some Random Commen with Id 142
143,33,5,180,4,Some Random Commen with Id 143
144,34,7,107,2,Some Random Commen with Id 144
145,34,7,59,7,Some Random Commen with Id 145
146,35,4,197,2,Some Random Commen with Id 146
147,36,9,173,5,Some Random Commen with Id 147
148,36,9,43,9,Some Random Commen with Id 148
149,36,9,7,0,Some Random Commen with Id 149
150,36,9,156,6,Some Random Commen with Id 150
151,36,9,194,4,Some Random Commen with Id 151
152,36,9,116,8,Some Random Commen with Id 152
153,36,9,61,4,Some Random Commen with Id 153
154,36,9,80,5,Some Random Commen with Id 154
155,37,1,148,9,Some Random Commen with Id 155
156,37,1,93,3,Some Random Commen with Id 156
157,37,1,87,6,Some Random Commen with Id 157
158,37,1,142,3,Some Random Commen with Id 158
159,37,1,190,7,Some Random Commen with Id 159
160,37,1,26,1,Some Random Commen with Id 160
161,37,1,188,3,Some Random Commen with Id 161
162,38,7,127,4,Some Random Commen with Id 162
163,38,7,54,0,Some Random Commen with Id 163
164,39,6,155,1,Some Random Commen with Id 164
165,39,6,126,0,Some Random Commen with Id 165
166,39,6,31,0,Some Random Commen with Id 166
167,39,6,116,0,Some Random Commen with Id 167
168,39,6,79,8,Some Random Commen with Id 168
169,39,6,141,7,Some Random Commen with Id 169
170,39,6,21,8,Some Random Commen with Id 170
